date,ticker,market_cap,eps_ttm
2023-06-01,WM,66.23,5.46
2023-06-01,PANW,66.306,0.64
2023-06-01,ENLAY,66.447,0.33
2023-06-01,EOG,63.253,16.0
2023-06-01,MELI,63.162,12.13
2023-06-01,TGT,60.538,5.87
2023-06-01,CME,64.756,7.88
2023-06-01,AON,63.731,12.49
2023-06-01,SLB,64.111,2.68
2023-06-01,KLAC,62.087,24.58
2023-06-01,CL,62.135,1.91
2023-06-01,CSX,63.797,2.04
2023-06-01,CDNS,63.369,3.22
2023-06-01,HUM,64.365,24.64
2023-06-01,ATVI,63.05,2.36
2023-06-01,UBS,60.663,1.96
2023-06-01,CNQ,61.169,6.25
2023-06-01,APD,60.677,9.73
2023-06-01,MNST,62.133,1.24
2023-06-01,BMO,59.665,
2023-06-01,SHW,60.576,8.15
2023-06-01,BNS,59.147,4.97
2023-06-01,ICE,59.553,2.59
2023-06-01,VALE,58.315,3.1
2023-06-01,TRI,58.377,2.31
2023-06-01,RELX,60.521,1.05
2023-06-01,KKR,58.945,-0.83
2023-06-01,NTES,55.324,4.75
2023-06-01,PRNDY,56.156,1.99
2023-06-01,MCO,59.393,7.48
2023-06-01,CMG,57.451,36.87
2023-06-01,VMW,57.391,3.1
2023-06-01,WDAY,56.196,-1.53
2023-06-01,FDX,54.616,11.62
2023-06-01,GD,56.329,12.21
2023-06-01,MRVL,52.546,-0.19
2023-06-01,ORLY,54.504,33.62
2023-06-01,SAN,54.66,0.59
2023-06-01,EPD,55.798,2.54
2023-06-01,MMM,52.012,9.68
2023-06-01,CTA-PA,54.568,
2023-06-01,FTNT,53.896,1.2
2023-06-01,SMFG,55.996,0.84
2023-06-01,RACE,53.564,5.8
2023-06-01,ITUB,51.842,0.61
2023-06-01,HSY,53.074,8.23
2023-06-01,MCK,52.78,25.05
2023-06-01,OXY,51.828,8.75
2023-06-01,ANET,51.385,4.69
2023-06-01,JD,54.091,1.73
2023-06-01,MAR,51.916,8.46
2023-06-01,SCCO,53.112,3.44
2023-06-01,PSA,49.968,23.51
2023-06-01,TAK,49.603,0.72
2023-06-01,NGG,49.381,4.56
2023-06-01,FCX,50.839,1.82
2023-06-01,CHTR,49.392,30.77
2023-06-01,EW,51.668,2.39
2023-06-01,STLA,48.379,5.69
2023-06-01,KVUE,47.753,0.74
2023-06-01,GIS,49.273,4.63
2023-06-01,BN,48.519,0.43
2023-06-01,SNOW,54.519,-2.68
2023-06-01,PXD,46.934,28.28
2023-06-01,CCI,48.641,3.86
2023-06-01,F,48.449,0.7
2023-06-01,MRNA,48.993,11.95
2023-06-01,ROP,48.265,9.67
2023-06-01,NSC,48.307,12.99
2023-06-01,MSI,47.333,8.01
2023-06-01,CTAS,48.41,12.46
2023-06-01,HMC,48.321,2.92
2023-06-01,ECL,48.152,4.03
2023-06-01,PNC,47.858,14.59
2023-06-01,E,47.579,7.82
2023-06-01,GLD,,
2023-06-01,NXPI,47.013,10.42
2023-06-01,KHC,46.868,1.96
2023-06-01,ING,46.373,1.43
2023-06-01,USB,46.785,3.74
2023-06-01,MPC,45.524,32.59
2023-06-01,ABEV,45.254,0.19
2023-06-01,ANZGY,45.319,1.5
2023-06-01,GM,45.902,6.28
2023-06-01,KMB,45.185,5.84
2023-06-01,APH,45.137,3.09
2023-06-01,EMR,45.349,4.93
2023-06-01,SRE,45.367,7.76
2023-06-01,DG,35.465,10.68
2023-06-01,AZO,43.258,121.01
2023-06-01,RSG,45.143,4.79
2023-06-01,DXCM,46.354,0.7
2023-06-01,KDP,43.756,0.93
2023-06-01,BIDU,45.724,5.43
2023-06-01,BSBR,43.429,0.37
2023-06-01,WDS,43.893,4.26
2023-06-01,AJG,43.306,5.37
2023-06-01,PSX,42.697,26.18
2023-06-01,TDG,42.742,16.47
2023-06-01,LULU,41.806,6.51
2023-06-01,BIIB,43.771,21.48
2023-06-01,LVS,42.379,-0.72
2023-06-01,MCHP,41.809,4.02
2023-06-01,PH,41.823,11.57
2023-06-01,TEAM,44.829,-2.52
2023-06-01,STZ,44.476,-0.12
2023-06-01,ADSK,43.537,3.86
2023-06-01,JCI,41.138,1.99
2023-06-01,AEP,42.223,3.85
2023-06-01,CPRT,41.914,2.41
2023-06-01,BBVA,40.642,1.17
2023-06-01,D,40.978,1.44
2023-06-01,BCE,41.441,2.07
2023-06-01,VLO,38.295,35.12
2023-06-01,TFC,41.236,4.49
2023-06-01,PCG,40.961,0.91
2023-06-01,HES,39.625,6.56
2023-06-01,TRV,39.566,11.75
2023-06-01,TRP,40.495,1.15
2023-06-01,ET,39.58,1.34
2023-06-01,MET,38.582,1.04
2023-06-01,STM,40.549,4.5
2023-06-01,ADM,38.424,7.97
2023-06-01,O,39.882,1.42
2023-06-01,COF,40.563,14.6
2023-06-01,CTVA,38.288,1.66
2023-06-01,EXC,39.266,2.26
2023-06-01,AIG,38.894,8.0
2023-06-01,PAYX,38.647,4.15
2023-06-01,AFL,39.087,6.93
2023-06-01,ALC,38.955,0.69
2023-06-01,IDXX,38.999,8.27
2023-06-01,CM,38.134,3.81
2023-06-01,TEL,38.617,6.61
2023-06-01,PUK,39.839,0.73
2023-06-01,CRARY,34.571,0.99
2023-06-01,SPG,38.701,6.6
2023-06-01,HLN,37.631,0.29
2023-06-01,MSCI,37.387,10.92
2023-06-01,TT,37.836,7.79
2023-06-01,ON,37.983,4.08
2023-06-01,SU,37.985,4.42
2023-06-01,PCAR,36.588,6.0
2023-06-01,APO,38.583,-3.21
2023-06-01,LYG,37.072,0.4
2023-06-01,IQV,36.919,5.49
2023-06-01,MFG,38.363,0.31
2023-06-01,HCMLY,34.947,1.21
2023-06-01,WELL,37.083,0.26
2023-06-01,HLT,36.431,4.55
2023-06-01,CRWD,37.355,-0.81
2023-06-01,BAESY,36.819,2.51
2023-06-01,KMI,36.553,1.13
2023-06-01,DHI,36.999,14.81
2023-06-01,YUM,37.042,4.26
2023-06-01,SGEN,36.501,-3.49
2023-06-01,MBLY,35.878,-0.14
2023-06-01,SYY,36.182,3.02
2023-06-01,CRH,35.406,3.48
2023-06-01,IAU,,
2023-06-01,SQ,37.201,-0.58
2023-06-01,GEHC,36.297,3.74
2023-06-01,WCN,35.437,3.31
2023-06-01,DOW,34.658,3.98
2023-06-01,A,34.34,4.54
2023-06-01,DELL,33.18,3.24
2023-06-01,XEL,34.975,3.23
2023-06-01,ROST,34.513,4.5
2023-06-01,WMB,35.462,2.12
2023-06-01,ODFL,34.831,12.17
2023-06-01,MFC,34.762,3.72
2023-06-01,EA,34.823,2.87
2023-06-01,BBD,33.684,0.32
2023-06-01,CNC,35.637,2.64
2023-06-01,NUE,33.42,25.57
2023-06-01,AME,33.868,5.25
2023-06-01,CARR,34.646,2.96
2023-06-01,SE,32.861,-1.72
2023-06-01,ABC,34.893,7.79
2023-06-01,KR,32.05,3.06
2023-06-01,MPLX,33.369,3.88
2023-06-01,LHX,33.516,4.8
2023-06-01,LNG,34.632,31.15
2023-06-01,OTIS,33.687,3.02
2023-06-01,GWW,32.875,32.58
2023-06-01,GFS,32.748,2.97
2023-06-01,TTD,35.813,0.17
2023-06-01,QSR,33.83,3.27
2023-06-01,ROK,32.219,11.37
2023-06-01,TLGPY,33.284,0.52
2023-06-01,ORAN,31.038,0.78
2023-06-01,IBKR,32.706,2.84
2023-06-01,FANUY,33.013,0.62
2023-06-01,AMP,31.976,19.19
2023-06-01,NEM,33.752,-0.7
2023-06-01,FIS,32.584,-27.95
2023-06-01,BK,32.552,3.16
2023-06-01,PPERY,31.663,1.25
2023-06-01,EXPGY,32.768,0.84
2023-06-01,ED,31.819,7.01
2023-06-01,CSGP,32.573,0.91
2023-06-01,CHT,31.842,1.55
2023-06-01,CVE,32.226,2.0
2023-06-01,CTSH,31.56,4.48
2023-06-01,NU,32.065,-0.04
2023-06-01,RMD,32.132,5.86
2023-06-01,FAST,30.779,1.94
2023-06-01,PPG,31.776,5.36
2023-06-01,VRSK,31.85,4.7
2023-06-01,DLTR,28.553,6.02
2023-06-01,DD,30.956,2.18
2023-06-01,ILMN,31.476,-28.85
2023-06-01,DVN,30.019,9.17
2023-06-01,HPQ,28.988,2.67
2023-06-01,BCS,29.739,1.61
2023-06-01,VICI,31.071,1.42
2023-06-01,LEN,30.844,16.09
2023-06-01,FERG,29.819,9.85
2023-06-01,CMI,29.284,17.74
2023-06-01,NWG,29.733,1.03
2023-06-01,DDOG,30.575,-0.27
2023-06-01,GOLD,30.632,0.06
2023-06-01,PEG,29.888,4.64
2023-06-01,BF-B,29.816,1.51
2023-06-01,MTD,29.272,39.52
2023-06-01,CODYY,29.665,1.21
2023-06-01,DLR,31.204,1.09
2023-06-01,PRU,29.247,1.33
2023-06-01,CCEP,29.016,3.52
2023-06-01,SPOT,29.771,-4.65
2023-06-01,VWDRY,29.694,-0.28
2023-06-01,PLTR,30.802,-0.12
2023-06-01,SLF,28.716,4.01
2023-06-01,ALL,28.703,-8.81
2023-06-01,KEYS,29.006,6.77
2023-06-01,BKR,29.164,-0.12
2023-06-01,LYB,28.188,9.27
2023-06-01,WTKWY,29.288,3.39
2023-06-01,TU,27.741,0.75
2023-06-01,CPNG,28.658,0.12
2023-06-01,FNV,28.717,3.5
2023-06-01,OEZVY,26.039,1.07
2023-06-01,AWK,27.945,4.55
2023-06-01,WBD,27.65,-4.94
2023-06-01,LI,28.485,-0.17
2023-06-01,NTR,27.574,12.83
2023-06-01,ANSS,28.012,6.52
2023-06-01,IMO,27.218,8.69
2023-06-01,WEC,27.187,4.27
2023-06-01,TLK,26.958,1.44
2023-06-01,HAL,27.066,2.16
2023-06-01,CEG,28.834,-0.52
2023-06-01,IT,26.9,11.55
2023-06-01,VOD,25.928,4.57
2023-06-01,GWLIF,26.852,1.96
2023-06-01,DIA,,
2023-06-01,GLW,26.244,1.06
2023-06-01,ZBH,26.72,2.14
2023-06-01,WIT,27.031,0.25
2023-06-01,NDAQ,27.007,2.3
2023-06-01,VEEV,31.766,3.01
2023-06-01,GMAB,25.7,1.11
